dataset_id	sample_id	method_id	K	x	y	domain_label	notes	seed
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11137.83867995146	3399.978951281928	1	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13419.401137521269	5651.148625855127	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10466.319567371003	3969.5042581270736	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12140.35517120607	5519.884773199464	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12045.846194818085	5363.287757833106	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10699.633184579783	8485.134226313567	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15839.12035196327	5837.326528307173	1	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10452.97254311286	5476.662952346474	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11350.59185748253	4822.993023346447	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15798.647356556448	6076.119461004509	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15835.729605569686	5678.780808116917	1	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12656.54783363021	4081.281062543745	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15883.20005507988	7898.420890780522	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11107.537923725393	4114.409044550035	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14938.11029120002	6332.450737116945	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10996.29117668568	5306.42500321282	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10847.74621931653	4754.438039782765	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12447.617325125126	7099.49586063034	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13672.411349142962	4694.028190241882	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11016.419693730992	4116.357749373936	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13557.557894393463	3586.156853733979	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15653.709106897084	7824.019792745144	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12248.427133168398	6310.66466932685	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13429.357415385824	3985.444211445472	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14637.629630068132	5069.931090066579	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15133.909736763162	6962.736208230173	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10979.553406033954	6655.037977241958	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13976.498717984628	8256.435132462928	5	baseline-domain-map	
